name,slug,x_url,facebook_url,instagram_url
Wildcat Mountain,wildcat,https://x.com/skiwildcat,https://www.facebook.com/WildcatMountain/,https://www.instagram.com/wildcatmountain/
Cranmore Mountain Resort,cranmore,https://x.com/CranmoreMtn,https://www.facebook.com/cranmoremountain,https://www.instagram.com/cranmoremountain/
Attitash Mountain Resort,attitash,https://x.com/attitashresort,https://www.facebook.com/AttitashMountain,https://www.instagram.com/attitashmountainresort/
Whiteface Mountain,whiteface,https://x.com/SkiWhiteface,https://www.facebook.com/WhitefaceLakePlacid/,https://www.instagram.com/whiteface_mt/
Gore Mountain,gore,https://x.com/goremountain,https://www.facebook.com/GoreMountain/,https://www.instagram.com/goremountain/
Hunter Mountain,hunter,https://x.com/huntermtn,https://www.facebook.com/huntermtn/,https://www.instagram.com/huntermountain/
Windham Mountain,windham,https://x.com/windhammountain,https://www.facebook.com/windhamountainclub,https://www.instagram.com/windhammountainclub/
Belleayre Mountain,belleayre,https://x.com/SkiBelleayre,https://www.facebook.com/belleayremountain/,https://www.instagram.com/belleayre/
Ski Santa Fe,ski-santa-fe,,https://www.facebook.com/skisantafe,https://www.instagram.com/skisantafe/
Taos Ski Valley,taos,https://x.com/TaosSkiValley,https://www.facebook.com/taosskivalley/,https://www.instagram.com/taosskivalley/
Angel Fire Resort,angel-fire,https://x.com/angelfireresort,https://www.facebook.com/angelfireresort,https://www.instagram.com/angel_fire_resort/
Red River Ski Area,red-river,https://x.com/RedRiverSkiArea,https://www.facebook.com/redriverskiarea/,https://www.instagram.com/redriverskiarea/
Ski Apache,ski-apache,https://x.com/SkiApache,https://www.facebook.com/SkiApache/,https://www.instagram.com/skiapache/
Snowshoe Mountain Resort,snowshoe,https://x.com/snowshoemtn,https://www.facebook.com/SnowshoeMountainResort/,https://www.instagram.com/snowshoemtn/
Jiminy Peak Mountain Resort,jiminy-peak,https://x.com/jiminypeak,https://www.facebook.com/jiminypeak,https://www.instagram.com/jiminypeak/
Wachusett Mountain Ski Area,wachusett,https://x.com/Wachusett,https://www.facebook.com/WaWaWachusett,https://www.instagram.com/wachusettmtn/
Seven Springs Mountain Resort,seven-springs,https://x.com/7SpringsPA,https://www.facebook.com/SevenSpringsMountainResort,https://www.instagram.com/7springspa/
Camelback Mountain Resort,camelback,,https://www.facebook.com/camelbackresortpa/,https://www.instagram.com/camelbackresortpa/
Wintergreen Resort,wintergreen,https://x.com/WintergreenVA,https://www.facebook.com/WintergreenResort,https://www.instagram.com/wintergreenresortva/
Wisp Resort,wisp,https://x.com/WispresortMD,https://www.facebook.com/WispResort,https://www.instagram.com/wispresort/
Boyne Mountain Resort,boyne-mountain,https://x.com/Boyne_Mountain,https://www.facebook.com/BoyneMountain,https://www.instagram.com/boyne.mountain/
Nub's Nob Ski Area,nubs-nob,https://x.com/NubsNobSkiArea,https://www.facebook.com/nubsnobskiarea/,https://www.instagram.com/nubsnob/
Marquette Mountain,marquette-mountain,,https://www.facebook.com/marquettemountain/,https://www.instagram.com/marquette_mountain/
Granite Peak Ski Area,granite-peak,https://x.com/granitepeak,https://www.facebook.com/granitepeak/,https://www.instagram.com/granitepeakskiarea/
Lutsen Mountains,lutsen,https://x.com/lutsenmountains,https://www.facebook.com/LutsenMountains,https://www.instagram.com/lutsenmountains/
Spirit Mountain,spirit-mountain,https://x.com/spiritmtduluth,https://www.facebook.com/SpiritMtDuluth,https://www.instagram.com/spiritmtduluth/
Arizona Snowbowl,arizona-snowbowl,https://x.com/AZSnowbowl,https://www.facebook.com/AZSnowbowl/,https://www.instagram.com/azsnowbowl/
Sun Peaks Resort,sun-peaks,https://x.com/SunPeaksResort,https://www.facebook.com/SunPeaksResort,https://www.instagram.com/sunpeaksresort/
Big White Ski Resort,big-white,https://x.com/BigWhite,https://www.facebook.com/BigWhiteSkiResort/,https://www.instagram.com/skibigwhite/
